2	48	2	60	1	3	2	2	1	22	3	1	1	1	1	0	0	1	0	0	1	0	0	1	1
1	24	3	49	1	3	3	4	4	53	3	2	2	1	1	1	0	1	0	0	0	0	0	1	1
2	30	4	52	1	1	4	2	3	28	3	2	1	1	1	1	0	1	0	0	1	0	0	0	1
2	12	2	13	1	2	2	1	3	25	3	1	1	1	1	1	0	1	0	1	0	0	0	1	1
1	48	2	43	1	2	2	4	2	24	3	1	1	1	1	0	0	1	0	1	0	0	0	1	1
1	24	4	12	1	5	3	4	3	60	3	2	1	1	1	1	0	1	0	0	1	0	1	0	1
1	24	2	13	2	3	2	2	3	32	3	1	1	1	1	0	0	1	0	0	1	0	1	0	1
2	24	2	126	1	5	2	2	4	44	3	1	1	2	1	0	1	1	0	0	0	0	0	0	1
1	60	3	68	1	5	3	4	4	63	3	2	1	2	1	0	0	1	0	0	1	0	0	1	1
2	45	4	47	1	2	3	2	2	25	3	2	1	1	1	0	0	1	0	0	1	0	1	0	1
3	18	2	21	1	3	3	2	1	37	2	1	1	1	1	0	0	0	1	0	1	0	0	1	1
1	48	4	61	1	5	2	4	4	58	2	2	1	1	1	0	1	1	0	0	0	0	1	0	1
2	36	3	22	1	5	3	4	4	57	1	2	1	2	1	1	0	1	0	0	0	0	0	1	1
2	12	2	65	5	1	3	1	4	52	3	1	1	2	1	0	0	1	0	0	1	0	0	0	1
1	36	4	62	1	2	2	4	4	23	3	2	1	2	1	0	0	0	1	1	0	0	1	0	1
2	36	0	20	1	5	3	4	4	61	3	1	1	2	1	0	0	1	0	0	0	0	0	0	1
2	48	0	144	1	3	3	2	3	25	3	1	1	2	1	0	0	1	0	0	1	0	0	1	1
4	36	2	18	1	3	3	4	4	37	2	1	1	2	1	0	0	1	0	0	0	0	0	1	1
1	36	2	20	5	5	3	4	4	40	3	1	1	2	1	0	0	1	0	0	1	0	0	0	1
1	42	2	40	1	2	3	3	3	34	3	1	1	1	1	0	0	1	0	0	1	0	0	1	1
4	24	2	59	5	2	2	1	3	44	3	2	1	2	1	0	0	1	0	0	1	0	0	1	1
2	36	2	126	2	3	3	4	4	47	3	1	2	2	1	0	0	1	0	0	0	0	0	1	1
1	12	0	11	1	4	3	3	1	28	3	2	1	1	1	0	0	1	0	0	1	0	0	1	1
4	12	4	8	5	5	2	3	2	33	1	1	2	1	1	0	0	1	0	0	1	0	1	0	1
2	54	0	159	1	2	3	4	4	58	3	1	1	2	1	0	0	1	0	1	0	0	0	1	1
2	24	4	119	1	3	3	3	3	39	3	2	2	2	1	0	0	0	1	0	1	0	0	0	1
4	18	1	65	1	5	3	4	4	39	1	2	2	2	1	1	0	1	0	0	1	0	0	0	1
4	36	4	79	1	3	2	2	1	25	2	2	1	2	1	1	0	1	0	0	1	0	0	1	1
1	42	2	72	5	4	2	3	3	30	3	1	1	2	1	0	0	1	0	0	1	0	0	0	1
1	33	4	43	3	3	2	4	3	23	3	2	1	1	1	0	0	1	0	0	1	0	0	1	1
1	21	2	18	1	3	2	2	1	25	3	2	1	2	1	0	0	1	0	0	1	0	0	1	1
